Country,ISO code,Period,Year,Sex,Non-standard age groups,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,Including consensual unions,Source type,Source,Survey Name,Note on non-standard age groups,Note on country or population,Note on data source
Armenia,51,..,2001,Women,x,7.7,47.4,73,80.9,83,81.2,77.7,53.8,,,,,Census,UNSD,,Data shown for age group 50-54 pertain to age group 50+.,,
Armenia,51,Around 2005,2005,Men,,0,21,62.5,84.3,86,90.4,94,,,,,x,Survey,DHS,Armenia 2005 Demographic and Health Survey,,,Data presented do not sum up to 100 by more than 0.5 percentage points due to missing values.
Armenia,51,Around 2005,2005,Women,,7,44.6,74.8,80.2,84.6,85.3,77.4,,,,,x,Survey,DHS,Armenia 2005 Demographic and Health Survey,,,Data presented do not sum up to 100 by more than 0.5 percentage points due to missing values.
Armenia,51,Latest,2010,Men,,1,14,51.1,73.4,90.9,91.7,91.9,,,,,x,Survey,DHS,Armenia 2010 Demographic and Health Survey,,,
Armenia,51,Latest,2010,Women,,7.9,43.6,67.5,77.5,80.3,82.6,80.3,,,,,x,Survey,DHS,Armenia 2010 Demographic and Health Survey,,,
Aruba,533,Around 1985,1981,Men,,0.4,15.2,49,68.5,71.6,77.9,78,78.3,81.6,80,69,,Census,UNSD,,,,
Aruba,533,Around 1985,1981,Women,,3.7,30.3,53.4,62.4,64.4,67.1,65.9,67,65.6,54.2,34,,Census,UNSD,,,,
Aruba,533,Around 1995,1991,Men,,0.4,14.6,39.3,54.8,63.8,69.4,70.7,72.8,75.2,76.3,67.9,,Census,National statistics,,,,
Aruba,533,Around 1995,1991,Women,,3.2,27.4,49.1,56.1,59.1,58,61.1,60.3,60.4,57.3,31.6,,Census,National statistics,,,,
Aruba,533,Around 2005,2000,Men,,0.6,11,35.6,53.9,60.4,63,68.5,69.2,72.7,75.5,70.2,,Census,National statistics,,,,
Aruba,533,Around 2005,2000,Women,,2,23.2,46,52.4,55.5,53.1,54.2,55.4,56.6,54.6,35,,Census,National statistics,,,,
Aruba,533,Latest,2010,Men,,0.2,4.9,21,41.2,53.6,59.3,59.8,61.5,65.9,68.3,68.5,,Census,UNSD,,,,
Aruba,533,Latest,2010,Women,,0.8,9.6,31.4,47.3,52.9,53.4,50.4,50.3,50.2,49,36.4,,Census,UNSD,,,,
Australia,36,Around 1970,1971,Men,,1.4,35.1,71.5,82.6,85,84.8,84.6,84.1,83.1,80.7,68.1,,Census,UNSD,,,,
Australia,36,Around 1970,1971,Women,,8.6,62,84.3,88.6,88.8,87,84.1,79.2,72.3,61.8,33.2,,Census,UNSD,,,,
Australia,36,Around 1985,1986,Men,,0.4,15.3,50.1,69.5,77.3,80,81,80.9,80.4,80.1,73.2,,Census,UNSD,,,,
Australia,36,Around 1985,1986,Women,,2.2,32.9,64.2,75.5,79.1,79.7,79.7,78.3,74.3,67.4,40.3,,Census,UNSD,,,,
Australia,36,Around 1995,1996,Men,,0.4,7.3,34,56.7,66.9,71.6,74.5,76.3,77.8,78.2,72.2,,Census,UNSD,,,,
Australia,36,Around 1995,1996,Women,,1,15.8,47.2,64.5,70,71.7,73,73.4,72.7,68.6,42.1,,Census,UNSD,,,,
Australia,36,Around 2005,2001,Men,,0.3,5.4,28.5,51,62.2,67,70,72.9,75.1,76.6,71.7,,Census,UNSD,,,,
Australia,36,Around 2005,2001,Women,,0.7,11.7,40.2,58.6,65.8,67.8,69.1,70.3,70.5,68.4,43.3,,Census,UNSD,,,,
Australia,36,Latest,2006,Men,,0.3,4.2,24.2,48,58.9,63.5,65.9,68.2,71.4,73.8,71.3,,Census,UNSD,,,,
Australia,36,Latest,2006,Women,,0.6,9.4,35.3,55.6,62.6,64.6,65.4,66.6,67.6,66.8,44.6,,Census,UNSD,,,,
Austria,40,Around 1970,1971,Men,,0.6,25.1,63.4,78.7,84.6,87.4,88.3,88.2,86.2,84,72,,Census,UNSD,,,,
Austria,40,Around 1970,1971,Women,,6.9,52.8,76.5,82.4,82.9,80.7,75,68,58.9,51.3,28.1,,Census,UNSD,,,,
Austria,40,Around 1985,1981,Men,,0.5,17.6,54.8,74.7,80,83.7,85.7,87,87.2,86.3,72.9,,Census,UNSD,,,,
Austria,40,Around 1985,1981,Women,,4.1,38.5,69.9,79.4,80.3,81.2,79.3,74.8,65.6,54.8,27.1,,Census,UNSD,,,,
Austria,40,Around 1995,1991,Men,,0.6,10.9,39.5,63,73.5,77.4,79.1,82,83.8,84.5,75,,Census,UNSD,,,,
Austria,40,Around 1995,1991,Women,,2.7,24,55.9,70.8,75.8,76.3,75.1,75,70.5,62.4,30.2,,Census,UNSD,,,,
Austria,40,Around 2005,2001,Men,,0.6,11.3,35.6,56.7,66.9,70.9,73.2,74.7,76,79,74.6,x,Census,UNSD,,,,
Austria,40,Around 2005,2001,Women,,2.6,24.7,53.4,67.9,72.4,72.8,72.5,70.7,67.5,64.7,34.2,x,Census,UNSD,,,,
Austria,40,Latest,2011,Men,,0,3.7,16.5,38,52.8,62.2,67.9,71.1,74,77,76.2,,Census,National statistics,,,,
Austria,40,Latest,2011,Women,,0,9.7,28.1,50.4,63.4,65,69.8,69.2,68.7,65.1,42.5,,Census,National statistics,,,,
Azerbaijan,31,..,1979,Men,x,1.1,18.9,68.1,88.2,94.3,95.5,96.1,95.3,94.4,92.6,90.9,,Census,National statistics,,"Data shown for age groups 15-19 and 65+ pertain to age groups 16-19 and 65-69, respectively.",,
Azerbaijan,31,..,1979,Women,x,6.7,46.7,78,85.2,86.1,84.7,80.1,70.3,57.9,43.5,34,,Census,National statistics,,"Data shown for age groups 15-19 and 65+ pertain to age groups 16-19 and 65-69, respectively.",,
Azerbaijan,31,Around 1985,1989,Men,,1.1,21.5,69,90.3,93.9,94.5,95.1,94.9,94,91.2,81.6,,Census,UNSD,,,,
Azerbaijan,31,Around 1985,1989,Women,,7.4,50,74.4,82.6,84.5,83,80.3,76.4,68,53.8,24.8,,Census,UNSD,,,,
Azerbaijan,31,Around 1995,1999,Men,,2.4,16.6,56.3,84.3,93.2,95.7,95.8,95.2,94.3,92,83.1,,Census,UNSD,,,,
Azerbaijan,31,Around 1995,1999,Women,,12.5,47.4,72.2,81.1,83.4,83.5,80.6,75.8,69.9,61.8,36,,Census,UNSD,,,,
Azerbaijan,31,Around 2005,2006,Men,,0.1,14.6,63.1,84.1,94.5,97.8,95.9,98.2,95.9,,,x,Survey,DHS,Azerbaijan 2006 Demographic and Health Survey,,,
Azerbaijan,31,Around 2005,2006,Women,,9.9,51.8,73.3,82.2,79.8,82.7,78.2,,,,,x,Survey,DHS,Azerbaijan 2006 Demographic and Health Survey,,,
Azerbaijan,31,Latest,2009,Men,,0.3,14.9,52.1,76.5,86.5,92.3,94.7,95.2,94.3,91.8,79.9,,Census,UNSD,,,,
Azerbaijan,31,Latest,2009,Women,,8.2,43.3,67.7,76.8,80.4,81.6,80.4,76.2,68.5,59.6,36.9,,Census,UNSD,,,,
Bahamas,44,Around 1970,1970,Men,,1.3,27.5,60.6,72.9,77.3,78.3,79.1,79.6,78.9,76.9,67.2,x,Census,UNSD,,,,
Bahamas,44,Around 1970,1970,Women,,9.8,49.9,69.2,73.5,72.8,69.5,68.2,61.2,58,48.2,27.2,x,Census,UNSD,,,,
Bahamas,44,Around 1985,1980,Men,,0.5,15.6,48.4,69.1,75.3,77.8,78.9,74.9,76.8,73.5,69,x,Census,UNSD,,,,
Bahamas,44,Around 1985,1980,Women,,4.5,29.8,53.8,64.1,65.8,63.7,62.6,56.9,52.2,46.8,29.8,x,Census,UNSD,,,,
Bahamas,44,Around 1995,1990,Men,,0.8,13.1,39.2,57.6,66.8,70,72.4,74.2,75,73.3,65.9,x,Census,National statistics,,,,
Bahamas,44,Around 1995,1990,Women,,3.5,24.2,46.6,55.5,58,59.2,58.5,55.2,53.1,46.7,29.4,x,Census,National statistics,,,,
Bahamas,44,Around 2005,2000,Men,,0.5,10.9,35.3,54.9,62.1,66.6,69.6,71.1,70.8,73,66.5,x,Census,UNSD,,,,
Bahamas,44,Around 2005,2000,Women,,3.1,23.9,42.7,54.2,57.9,55.3,54.8,52.6,51.4,46.6,28.9,x,Census,UNSD,,,,
Bahrain,48,Around 1970,1971,Men,x,3.3,41.8,,81.8,,88.9,,85.8,,,,,Census,UNSD,,"Data pertain to age groups 15-19, 20-29, 30-39, 40-49 and 50+.",,
Bahrain,48,Around 1970,1971,Women,x,28.4,80.2,,90.7,,80.4,,40.4,,,,,Census,UNSD,,"Data pertain to age groups 15-19, 20-29, 30-39, 40-49 and 50+.",,
Bahrain,48,Around 1985,1981,Men,x,1.9,40.1,,83.3,,91.8,,89.8,,,,,Census,UNSD,,"Data pertain to age groups 15-19, 20-29, 30-39, 40-49 and 50+.",,
Bahrain,48,Around 1985,1981,Women,x,14.5,66.1,,87.9,,84.4,,51.5,,,,,Census,UNSD,,"Data pertain to age groups 15-19, 20-29, 30-39, 40-49 and 50+.",,
Bahrain,48,Around 1995,1991,Men,,0.5,12.7,44.9,73.4,88,92,92.3,93.1,92.2,90.5,84.1,,Census,UNSD,,,,
Bahrain,48,Around 1995,1991,Women,,6.5,40.2,66.8,77.5,83.2,84.2,83.5,76.7,66,55.8,33.3,,Census,UNSD,,,,
Bahrain,48,Latest,2001,Men,,0.3,13.3,37.3,61.1,78,85.9,90.6,92.4,92.7,93.1,87.3,,Census,UNSD,,,,
Bahrain,48,Latest,2001,Women,,4.1,33.8,61.7,71.3,78.7,82.3,82.3,80.5,74.4,64.4,42.2,,Census,UNSD,,,,
Bangladesh,50,Around 1970,1974,Men,,7.4,39.1,76.3,93,96.6,96.8,96.8,95.8,95.3,93.1,88.2,,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 6.88 per cent."
Bangladesh,50,Around 1970,1974,Women,,71.8,93,95.2,93.4,89.8,81.4,75.1,60.3,53.1,35.6,20.8,,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 6.88 per cent."
Bangladesh,50,Around 1985,1981,Men,,6.6,39.9,78.3,93.1,97,97.1,97.5,96.3,96.3,93.3,89.1,,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 3.1 per cent."
Bangladesh,50,Around 1985,1981,Women,,65.4,90.8,94.4,92.8,89.8,81.8,74.4,62.3,54.5,40.4,27.6,,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 3.1 per cent."
Bangladesh,50,Around 1995,1991,Men,,5,31.4,73.4,92.5,97.6,98.4,98.7,98.1,98,96.9,94,,Census,UNSD,,,,
Bangladesh,50,Around 1995,1991,Women,,49.6,86.6,94,93.8,92.1,87,81.7,70.6,64.4,50.7,37.3,,Census,UNSD,,,,
Bangladesh,50,Around 2005,2001,Men,,4.2,30.7,67.6,87.7,95,96.3,97,96.1,95.9,94.1,89.5,,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 4.96 per cent."
Bangladesh,50,Around 2005,2001,Women,,36.2,80.5,91,92,91.4,87.2,84.3,75.2,71.9,56.4,42.9,,Census,UNSD,,,,"Data were not adjusted for underenumeration, estimated at 4.96 per cent."
Bangladesh,50,Latest,2011,Men,,2.1,29.6,69.4,88.4,97.5,98.4,98.2,,,,,,Survey,DHS,Bangladesh 2011 Demographic and Health Survey,,,
Bangladesh,50,Latest,2011,Women,,44.7,83.7,93.2,94.3,91.9,89.8,82.3,,,,,,Survey,DHS,Bangladesh 2011 Demographic and Health Survey,,,
Barbados,52,Around 1970,1970,Men,,0.2,4.6,22.5,43.4,54.2,61.4,65.7,68.8,69.4,70.4,66.4,,Census,US Census Bureau,,,,
Barbados,52,Around 1970,1970,Women,,0.9,12,33.6,47.5,53.4,57.4,57,55.4,52.1,48,29.5,,Census,US Census Bureau,,,,
Barbados,52,Around 1985,1980,Men,,0.2,3.2,17.9,37.3,50.2,56.6,62.7,65.7,68.8,69.2,63.7,,Census,UNSD,,,,
Barbados,52,Around 1985,1980,Women,,0.6,8.3,26.1,40,47.7,53.7,56.3,54.9,53.5,49.7,31.5,,Census,UNSD,,,,
Barbados,52,Around 1995,1990,Men,,0.2,2.2,12.4,27,40,48.6,54.1,58.8,61.5,63.2,57.5,,Census,US Census Bureau,,,,
Barbados,52,Around 1995,1990,Women,,0.6,6.4,20,31.9,40.2,42.5,47.6,48.4,50.8,46.9,28.5,,Census,US Census Bureau,,,,
Belarus,112,Around 1970,1970,Men,x,2.2,25.2,76.7,90.3,95.2,95.4,96.9,96.7,96,92.9,,,Census,National statistics,,"Data shown for age groups 15-19 and 60-64 pertain to age groups 18-19 and 60-69, respectively.",,
Belarus,112,Around 1970,1970,Women,x,12.6,51.6,82.2,85,83.6,78.8,71.9,60.4,51.3,41.7,,,Census,National statistics,,"Data shown for age groups 15-19 and 60-64 pertain to age groups 18-19 and 60-69, respectively.",,
Belarus,112,..,1979,Men,x,0.3,35.1,78.4,87.5,90.6,92.7,94.6,95.1,95.1,93.6,91.4,,Census,National statistics,,Data shown for age group 65+ pertain age group 65-69.,,
Belarus,112,..,1979,Women,x,8.1,57.4,81.5,84.9,84.3,82.5,78.7,71.2,60.5,45.8,36.3,,Census,National statistics,,Data shown for age group 65+ pertain age group 65-69.,,
Belarus,112,Around 1985,1989,Men,,1.5,37.8,76.5,84.5,86.6,87.4,87.9,89.5,90.9,90.7,80.2,,Census,UNSD,,,,
Belarus,112,Around 1985,1989,Women,,7.9,61.3,82.1,85,83.6,80.8,77.5,74.4,67.9,57.3,26.3,,Census,UNSD,,,,
Belarus,112,Around 1995,1999,Men,,1,28.1,65.4,77.4,80.6,81.6,82.4,83.6,84.1,84.7,78.7,x,Census,UNSD,,,,
Belarus,112,Around 1995,1999,Women,,6,49.6,72.1,77.6,78.2,76.8,73.6,69.8,63.5,57.3,32.2,x,Census,UNSD,,,,
Belarus,112,Latest,2009,Men,,0.7,20.1,56.4,70.6,75.2,77.8,79.5,80.6,81.5,82,73.4,x,Census,UNSD,,,,
Belarus,112,Latest,2009,Women,,3.9,38.9,67.2,72.5,72.6,72,70.9,68.1,62,54.3,28.5,x,Census,UNSD,,,,
Belgium,56,Around 1970,1970,Men,,1,35.3,77.2,85.9,87.8,88,88.5,88.3,86.3,83.2,69.1,,Census,UNSD,,,,
Belgium,56,Around 1970,1970,Women,,6.8,59.4,86.6,90,89.8,87.8,84.8,80.5,74.4,65.4,37.8,,Census,UNSD,,,,
Belgium,56,Around 1985,1981,Men,,0.7,28.4,71.5,83,85.7,86.4,86.8,86.4,86.2,84.9,70.4,,Census,UNSD,,,,
Belgium,56,Around 1985,1981,Women,,5.3,52,81.6,87,87.7,87.5,85.9,82,75.5,66.8,36.4,,Census,UNSD,,,,
Belgium,56,Around 1995,1991,Men,,0.3,14.2,53.4,72.3,78.1,80.7,82.4,83.4,84,83.3,73,,Estimate,UNSD,,,,
Belgium,56,Around 1995,1991,Women,,2.4,32.2,68.6,78.8,81,81.8,82,81.3,77.7,69.9,37.6,,Estimate,UNSD,,,,
Belgium,56,Around 2005,2001,Men,,0.1,5.3,30.2,54.2,65.3,70.2,73.5,76.3,79.2,80.6,74.6,,Census,UNSD,,,,
Belgium,56,Around 2005,2001,Women,,1,15,45.9,64.6,71.1,73,73.9,74.8,74.5,71.4,42.5,,Census,UNSD,,,,
Belgium,56,Latest,2009,Men,,0.1,3.3,19.9,40,52.2,59.8,64.2,68,72,75.7,73.3,,Estimate,UNSD,,,,
Belgium,56,Latest,2009,Women,,0.6,10.3,32.3,49.6,58.5,63.6,65.8,67.5,68.7,68.5,43.9,,Estimate,UNSD,,,,
Belize,84,Around 1970,1970,Men,,1.7,24.2,50.7,59.5,61.6,63.8,65.4,65.7,66.6,67.5,63.3,,Census,US Census Bureau,,,,
Belize,84,Around 1970,1970,Women,,11.4,40.8,59,62,63.6,62.8,60.2,57.6,55,51.7,34.3,,Census,US Census Bureau,,,,
Belize,84,Around 1985,1980,Men,,1.7,20.1,46.6,58.4,65.1,66.1,65.4,67.6,65.9,66.8,62.2,,Census,UNSD,,,,
Belize,84,Around 1985,1980,Women,,9,33.9,52.8,61.3,67.8,65.4,64.3,60.9,56.2,51.3,36.2,,Census,UNSD,,,,
Belize,84,Around 1995,1991,Men,,1.3,17.8,39,51.2,61,66.2,69.4,68.2,66.9,66.3,59,,Census,UNSD,,,,
Belize,84,Around 1995,1991,Women,,7.7,30.1,46.1,55.6,62.2,65,65.3,62.4,59.4,54.7,35.2,,Census,UNSD,,,,
Belize,84,Latest,2000,Men,,6.4,41.3,72,80.9,82.8,84.1,84,82.7,82.7,79.7,68.9,x,Census,National statistics,,,,
Belize,84,Latest,2000,Women,,22,61,77.1,80.6,81.3,80.2,77.7,73.3,70.4,65.3,42,x,Census,National statistics,,,,
